strength,angle,distance
15,173.90625,1065.75
15,92.328125,965.25
15,99.015625,1401.5
15,101.46875,1337.75
15,103.890625,1282.0
15,106.296875,1203.75
15,108.640625,1248.25
15,110.9375,1352.75
15,113.296875,1335.5
15,115.71875,1313.75
15,118.140625,1276.5
15,120.53125,1220.25
15,122.984375,1210.75
15,125.328125,1196.75
15,127.78125,1182.75
15,130.078125,1171.0
15,132.484375,1159.0
15,134.796875,1149.5
15,137.15625,1157.0
15,139.65625,1134.0
15,141.828125,1253.5
15,144.21875,1251.75
15,146.578125,1252.25
15,148.953125,1248.75
15,151.3125,1251.5
15,153.75,1255.5
15,156.265625,1265.75
15,158.640625,1277.25
15,166.234375,897.75
15,168.4375,1020.5
15,170.796875,1041.75
15,173.171875,1060.5
15,175.578125,1082.25
15,177.890625,1108.75
15,180.046875,1136.25
15,182.390625,1168.0
15,184.71875,1206.0
15,187.046875,1246.0
15,189.28125,1402.0
15,191.71875,1316.5
15,194.140625,1225.75
15,196.5,1209.25
15,198.921875,1180.75
15,201.328125,1141.5
15,203.90625,1110.25
15,206.21875,1081.75
15,208.703125,1057.25
15,211.140625,1031.5
15,213.5,1013.75
15,215.84375,994.75
15,218.3125,980.5
15,220.65625,968.0
15,223.125,957.25
15,225.484375,947.25
15,227.78125,941.0
15,230.21875,935.0
15,232.609375,933.0
15,235.015625,928.75
15,237.28125,928.5
15,239.71875,927.75
15,242.09375,930.25
15,244.453125,934.5
15,246.8125,939.0
15,249.3125,864.75
15,251.46875,953.0
15,253.875,965.5
15,256.28125,976.75
15,258.515625,991.5
15,261.15625,835.25
15,263.3125,1028.5
15,268.640625,321.25
15,271.125,322.75
15,277.578125,1008.75
15,279.859375,1117.0
15,282.25,1116.25
15,284.6875,1056.5
15,287.40625,859.75
15,289.421875,1004.5
15,291.734375,1063.0
15,294.125,1130.0
15,296.359375,1211.0
15,298.671875,1310.0
15,300.796875,1432.0
15,303.078125,1554.5
15,305.5625,1444.5
15,307.9375,1390.5
15,310.0,1947.5
15,312.34375,1928.5
15,314.765625,1919.25
15,317.125,1902.75
15,319.46875,1892.25
15,322.234375,1219.0
15,324.921875,1211.5
14,329.4375,1577.0
14,332.15625,1104.75
15,334.640625,1079.75
15,337.03125,1096.25
15,345.953125,1909.75
15,348.265625,1792.5

